,x,DO_name_approx,DOID_approx,HPO_name_approx,HPID_approx
1,Hypertension risk in short sleep duration,,,,
2,Infantile hypertrophic pyloric stenosis,pyloric stenosis,DOID:12639,,
3,Glycated hemoglobin levels,,,,
4,Lipid metabolism phenotypes,,,,
5,Serum metabolites,,,,
6,Lymphocyte counts,,,,
7,Inflammatory biomarkers,,,,
8,Menopause (age at onset),,,,
9,Life threatening arrhythmia,heart disease,DOID:114,,
10,Diabetes (gestational),gestational diabetes,DOID:11714,,
11,Serum uric acid,,,,
12,Breast cancer (survival),breast cancer,DOID:1612,,
13,Type 2 diabetes,type 2 diabetes mellitus,DOID:9352,,
14,Prion diseases,prion disease,DOID:649,,
15,Triglycerides,,,,
16,Anticoagulant levels,,
17,Non-obstructive azoospermia,azoospermia,DOID:14227
18,IgA nephropathy,kidney disease,DOID:557
19,Ankle-brachial index ,,
20,Response to tamoxifen in breast cancer,breast cancer,DOID:1612
21,Heart rate variability traits,,
22,HIV-1 susceptibility,Human immunodeficiency virus infectious disease,DOID:526
23,HIV-1 viral setpoint,,
24,Response to gemcitabine in pancreatic cancer ,pancreatic cancer,DOID:1793
25,Coronary artery calcification,,
26,Corneal astigmatism,astigmatism,DOID:11782
27,Mean platelet volume,,
28,Platelet counts,,
29,Creutzfeldt-Jakob disease (variant),Creutzfeldt-Jakob syndrome,DOID:11949
30,Cognitive function,cognitive disorder,DOID:1561
31,Ovarian reserve,,
32,Bilirubin levels,,
33,Response to hepatitis C treatment,hepatitis C,DOID:1883
34,Acute lymphoblastic leukemia (childhood),lymphoblastic leukemia,DOID:1037
35,Serum IgE levels,,
36,Aortic stiffness,aortic disease,DOID:520
37,Adiponectin levels,,
38,Femoral neck bone geometry,,
39,Depression and alcohol dependence,,
40,Cognitive decline,,
41,Response to antidepressant treatment,,
42,Renal sinus fat,,
43,Gamma gluatamyl transferase levels,,
44,IgE grass sensitization,,
45,White blood cell count,,
46,Gastric cancer,,
47,Scoliosis,,
48,Height
49,Response to platinum-based agents
50,Lipid traits
51,Obesity and blood pressure
52,Alcohol dependence
53,Alzheimer's disease (age of onset)
54,Smoking behavior
55,Liver enzyme levels (alanie transaminase)
56,Liver enzyme levels (alkaline phosphatase)
57,Liver enzyme levels (gamma-glutamyl transferase)
58,Dengue shock syndrome 
59,Lipoprotein-associated phospholipase A2 activity and mass
60,Cytomegalovirus antibody response
61,Response to antipsychotic therapy (extrapyramidal side effects)
62,Corneal structure
63,Serum testosterone
64,Type 1 diabetes
65,Venous thromboembolism
66,Pulmonary function
67,Cardiovascular disease risk factors
68,Obesity (extreme)
69,Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)
70,Age-related macular degeneration
71,Carotid intima media thickness
72,Diastolic blood pressure
73,Systolic blood pressure
74,Gamma glutamyl transpeptidase
75,HDL cholesterol
76,Thoracic aortic aneurysms and dissections
77,Blood pressure
78,HPV seropositivity
79,Permanent tooth development
80,Aspartate aminotransferase 
81,Lp (a) levels
82,Metabolic traits
83,Coffee consumption
84,Retinol levels
85,Proinsulin levels
86,Non-small cell lung cancer
87,Insulin resistance/response
88,Butyrylcholinesterase levels
89,Response to metformin
90,Iris characteristics
91,Tardive dyskinesia 
92,Glioma
93,Bladder cancer
94,Type 1 diabetes autoantibodies
95,vWF and FVIII levels
96,Cortical thickness
97,Nevirapine-induced rash
98,Meningioma 
99,Phospholipid levels (plasma)
100,Epirubicin-induced leukopenia 
101,Serum hepcidin 
102,Aging (time to death)
103,Aging (time to event)
104,Serum urate
105,Hepatitis B vaccine response
106,Vascular endothelial growth factor levels
107,Systemic sclerosis
108,Fibrinogen
109,Dupuytren's disease
110,Vitamin E levels
111,Chronic Hepatitis C infection
112,Interstitial lung disease 
113,Sudden cardiac arrest
114,White blood cell types
115,Longevity
116,Adiposity
117,Basal cell carcinoma 
118,Body mass index
119,Erythrocyte sedimentation rate
120,White matter hypersensitivity burden
121,Corneal curvature
